"","logFC","AveExpr","t","P.Value","adj.P.Val","gene_id","gene"
"ENSG00000197406",8.84812537367843,-1.39586594129193,16.601819601677,1.12428509523075e-11,2.57107940063626e-09,"ENSG00000197406","DIO3"
"ENSG00000137203",13.2943217829896,0.65369547738829,16.5816696463551,1.2237567240567e-11,2.75877660785172e-09,"ENSG00000137203","TFAP2A"
"ENSG00000116141",2.1180986665121,5.331636256261,16.4672457854207,1.22933990105003e-11,2.75877660785172e-09,"ENSG00000116141","MARK1"
"ENSG00000164736",11.1396400846851,-3.48120312580992,16.5120608794367,1.25920841634648e-11,2.799640045677e-09,"ENSG00000164736","SOX17"
"ENSG00000188257",8.09126307924064,1.65600380686127,16.4350435662715,1.29564331032907e-11,2.83140961503129e-09,"ENSG00000188257","PLA2G2A"
"ENSG00000145681",6.40391927465406,2.38393704724034,16.4175171790624,1.29708086645611e-11,2.83140961503129e-09,"ENSG00000145681","HAPLN1"
"ENSG00000102445",3.59642186072281,2.75401660073809,16.3843872090017,1.32558887377578e-11,2.86757117451388e-09,"ENSG00000102445","RUBCNL"
"ENSG00000147596",-2.39520537325389,5.03619099600213,-16.3736906197342,1.33833379553445e-11,2.86929206235476e-09,"ENSG00000147596","PRDM14"
"ENSG00000106031",8.31067116415345,-4.57119144787709,16.3799200128854,1.36555906215618e-11,2.90175258411453e-09,"ENSG00000106031","HOXA13"
"ENSG00000143858",-3.51207234583795,4.10610109138593,-16.2499403130917,1.49869140742021e-11,3.15671737499774e-09,"ENSG00000143858","SYT2"
"ENSG00000163132",7.80810681212214,1.25816672942564,16.2108318637382,1.58530659083582e-11,3.3101201616652e-09,"ENSG00000163132","MSX1"
"ENSG00000154319",4.64776636615838,2.48865520054053,16.1706587198606,1.61382101108356e-11,3.34060949294296e-09,"ENSG00000154319","FAM167A"
"ENSG00000124839",-2.22027879471254,6.02093344104407,-16.1451248870404,1.65004285232464e-11,3.38639563846317e-09,"ENSG00000124839","RAB17"
"ENSG00000087510",3.26436888512005,3.78615219888361,16.1282047575202,1.67610117569406e-11,3.39402668134256e-09,"ENSG00000087510","TFAP2C"
"ENSG00000243709",-4.88940104910982,4.47514889332347,-16.1230060419599,1.68719880681944e-11,3.39402668134256e-09,"ENSG00000243709","LEFTY1"
"ENSG00000115361",4.7115169850775,1.22025071535145,16.1150087495847,1.69900590074988e-11,3.39402668134256e-09,"ENSG00000115361","ACADL"
"ENSG00000158825",2.87542369420731,3.52107050641299,16.1062738075195,1.71029996852594e-11,3.39402668134256e-09,"ENSG00000158825","CDA"
"ENSG00000185070",4.08998024583104,3.90395622250104,16.0069863978152,1.87600223149774e-11,3.69234144120687e-09,"ENSG00000185070","FLRT2"
"ENSG00000137747",5.12611656016336,1.28908383135582,15.9377485760546,2.00492476583736e-11,3.88420331494275e-09,"ENSG00000137747","TMPRSS13"
"ENSG00000125170",1.86652444547116,5.84113457849345,15.9345418310409,2.00583546165626e-11,3.88420331494275e-09,"ENSG00000125170","DOK4"
